sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2815051,Initial Access,Initial Access,TA0001,Spear Phishing Link,T1566.001,"The rule detects QR code generation for Bitcoin addresses, commonly used in ransomware scenarios to facilitate payment, indicating potential initial access via malicious links.",ext to int,,,,,,4,Ransomware,"The rule detects a potential indicator of ransomware activity by monitoring for QR code generation for Bitcoin addresses. However, it does not confirm a successful compromise.","qr,bitcoin,anomaly,ransomware"
2815080,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware communication pattern indicative of a Trojan Dropper, which typically establishes command and control connections to exfiltrate data or receive instructions.",ext to int,,,,,,8,Malware,"The rule detects a successful check-in of a Trojan Dropper on an Android device, indicating active malware presence which poses a significant threat.","trojan,android,c2,malware,Android**"
2815081,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware TrojanDropper that communicates with a command and control server, indicating potential data exfiltration through the established connection.",ext to int,,,,,,8,Malware,"The rule detects a confirmed malware check-in from a Trojan Dropper targeting Android devices, indicating a successful compromise.","trojan,mobile,c2,exfiltration,Android**"
2815091,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a POST request with specific characteristics indicative of a mobile malware communicating with a command and control server, suggesting that the malware is exfiltrating data over this channel.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a successful check-in from a mobile malware variant, indicating a potential compromise of a mobile device and possible ongoing command and control activity.","trojan,mobile,c2,exfiltration,Android**"
2815141,Collection,Collection,TA0023,Data from Information Repositories,T1213,"The rule detects HTTP POST requests that may contain user system information being sent to an external server, indicating potential data collection from the target system.",ext to int,,,,,,3,Policy Violation,"The rule detects anomalous behavior related to user benchmarking data reporting, which may indicate policy violations but does not confirm a successful compromise or a significant security threat.","anomaly,policy,http,reporting"
2815181,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with the Nuclear Exploit Kit, which is designed to compromise client systems via vulnerabilities in public-facing applications, particularly through exploit delivery mechanisms.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects activity associated with the Nuclear Exploit Kit, which is designed to compromise client systems and install malware, indicating a successful compromise.","exploit,landing,http,nuclear,Exploit_Kit, Nuclear**"
2815182,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects the Nuclear Exploit Kit, which is designed to compromise client systems through vulnerabilities in public-facing applications, indicating an initial access attempt.",ext to int,,,,,,7,Malware,"The rule detects a landing page for the Nuclear Exploit Kit, which is a sophisticated malware delivery framework that can lead to successful compromises if the target is vulnerable.","exploit,landing,http,nuclear,Exploit_Kit, Nuclear**"
2815183,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit attempt through the Nuclear Exploit Kit, which targets vulnerabilities in client-facing applications like Adobe Flash. This aligns with the Initial Access phase as attackers aim to compromise systems by exploiting vulnerabilities.",ext to int,,,,,,8,Malware,"The rule detects a potential successful exploitation attempt targeting client endpoints, which could lead to malware installation.","exploit,nuclear,http,client,Exploit_Kit, Nuclear**"
2815189,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a specific HTTP POST request pattern typically associated with mobile malware communicating with its command and control server, indicating an attempt to exfiltrate data.",ext to int,,,,,,7,Command and Control (C2),"The rule indicates a successful check-in from a mobile malware agent, suggesting potential active compromise and data exfiltration.","mobile,trojan,c2,exfiltration,Android**"
2815198,Initial Access,Drive-by Compromise,T1189,Malicious Redirect,T1071.001,"The rule detects potential malicious redirection to exploit kits, which is often a method used to gain initial access to a victim's system through compromised web traffic.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential exploit kit redirection, indicating a successful compromise may occur if the user is redirected to a malicious site, thus posing a significant threat.","redirector,exploitkit,client,malvertising,Redirector**"
2815199,Initial Access,Drive-by Compromise,T1189,Malicious Redirects,T1203.001,"The rule detects potential malicious redirects that could lead to exploit kits, indicating an attempt at initial access through client-side exploitation.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects potential exploitation methods leading to further malicious activity, indicating a successful compromise possibility.","redirector,exploit,client,malvertising,Redirector**"
2815200,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects potential evil redirection which is often used by attackers to facilitate initial access through compromised websites or malicious ads, leading to further exploitation.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential exploit kit activity through evil redirection, indicating a successful compromise could lead to further exploitation.","redirector,exploitkit,client,malvertising,Redirector**"
2815224,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware check-in that uses HTTP POST requests to communicate with an external server, indicating an established command and control channel for exfiltration of data.",ext to int,,,,,,7,Command and Control (C2),"This rule detects a mobile malware Trojan that is successfully checking in, indicating a compromised device and potential data exfiltration.","trojan,mobile,command,exfiltration,Android**"
2815256,Initial Access,Exploitation of Public-Facing Application,T1190,Exploit Public-Facing Application,T1190,"The rule detects attempts to exploit a known vulnerability in Internet Explorer, which is indicative of initial access through the exploitation of a public-facing application.",ext to int,CVE-2015-6083,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 8 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6151.",7,Malware,"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to successful exploitation and potential compromise of client endpoints.","webclient,vulnerability,javascript,exploit,Web_Client_Attacks**"
2815262,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects an exploit targeting a vulnerability in web browsers, which is commonly used to gain initial access to a system through malicious web content.",ext to int,CVE-2015-6134,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6141.",7,Advanced Persistent Threats (APTs),The rule detects a memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and compromise of client endpoints.,"web,vulnerability,client,exploit,Web_Client_Attacks**"
2815263,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a web browser vulnerability (CVE-2015-6135) which is commonly used in drive-by download attacks, indicating an attempt at initial access through client-side exploitation.",ext to int,CVE-2015-6135,12/9/15 11:59,2.9,10,"The Microsoft (1) VBScript 5.7 and 5.8 and (2) JScript 5.7 and 5.8 engines, as used in Internet Explorer 8 through 11 and other products, allow remote attackers to obtain sensitive information from process memory via a crafted web site, aka ""Scripting Engine Information Disclosure Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects a specific memory corruption vulnerability that can lead to successful exploitation of client endpoints, indicating a higher security impact.","scripting,vulnerability,web,client,Web_Client_Attacks**"
2815264,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a potential exploitation of a vulnerability in Internet Explorer, indicating an attempt to gain initial access by exploiting a client-side application.",ext to int,CVE-2015-6140,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6142, CVE-2015-6143, CVE-2015-6153, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",7,Malware,"The rule detects an attempt to exploit a known vulnerability (CVE-2015-6140) in Internet Explorer, indicating a successful compromise of the client endpoint.","memory,vulnerability,web,client,Web_Client_Attacks**"
2815265,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in web browsers, indicating an attempt to gain initial access through client-side attacks.",ext to int,CVE-2015-6142,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6143, CVE-2015-6153, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",8,Advanced Persistent Threats (APTs),"The rule detects a possible exploitation of a known vulnerability (CVE-2015-6142) that can lead to a successful compromise of client endpoints, thus warranting a high impact score.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2815266,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule is designed to detect potential exploitation of a browser vulnerability (CVE-2015-6142) that could allow an attacker to execute malicious code on a client endpoint, indicative of initial access through a compromised web application.",ext to int,CVE-2015-6142,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6143, CVE-2015-6153, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability (CVE-2015-6142) that can lead to successful exploitation and compromise of client endpoints, warranting a higher impact score.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2815267,Initial Access,Exploit Public-Facing Application,T1190,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in web browsers, which aligns with initial access tactics where attackers exploit vulnerabilities in public-facing applications to gain entry into a system.",ext to int,CVE-2015-6143,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6142, CVE-2015-6153, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",7,Advanced Persistent Threats (APTs),"The rule detects a successful compromise attempt leveraging a known vulnerability (CVE-2015-6143) in web browsers, indicating a high potential impact on client endpoints.","browser,vulnerability,exploit,client,Web_Client_Attacks**"
2815268,Initial Access,Exploitation of Public-Facing Application,T1190,Exploitation of Vulnerability,T1203,"The rule detects potential exploitation of a known browser vulnerability (CVE-2015-6143), which aligns with initial access tactics where attackers exploit vulnerabilities in public-facing applications to gain entry.",ext to int,CVE-2015-6143,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6142, CVE-2015-6153, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",7,Malware,"The rule detects a potential exploitation of a known vulnerability (CVE-2015-6143) in web browsers, indicating a successful compromise attempt which could lead to malware execution.","browser,vulnerability,exploit,client,Web_Client_Attacks**"
2815269,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects attempts to exploit a known vulnerability in Internet Explorer (CVE-2015-6147) through crafted web content, which aligns with the Initial Access phase as it aims to compromise a client endpoint.",ext to int,CVE-2015-6147,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6149.",8,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability that can lead to a successful compromise of client endpoints, indicating a significant security impact.","web,exploit,vulnerability,client,Web_Client_Attacks**"
2815270,Initial Access,Exploit Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule targets a specific vulnerability in Internet Explorer that can be exploited to compromise a client endpoint, indicating an initial access vector through exploitation.",ext to int,CVE-2015-6149,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6147.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-6149) that can lead to a successful compromise of client endpoints, indicating a significant security risk.","web,exploit,client,vulnerability,Web_Client_Attacks**"
2815271,Initial Access,Exploitation for Client Execution,TA0040,Exploitation of Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in a web browser (CVE-2015-6150) that could allow an attacker to execute malicious code on the client endpoint, which aligns with the Initial Access phase of an attack.",ext to int,CVE-2015-6150,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 7 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6154.",8,Malware,"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to successful compromise of client endpoints.","web,exploit,client,vulnerability,Web_Client_Attacks**"
2815272,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a known vulnerability in Internet Explorer, which is indicative of an attacker attempting to gain initial access to a client endpoint through malicious web content.",ext to int,CVE-2015-6152,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6162.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-6152) that could lead to a successful compromise of client endpoints, indicating a higher security impact.","memory,vulnerability,webclient,exploit,Web_Client_Attacks**"
2815273,Initial Access,Exploitation for Client Execution,T1203,Exploitation of Vulnerability,T1203.001,"The rule detects potential exploitation of a vulnerability in web browsers, which aligns with initial access techniques that leverage client-side vulnerabilities to execute malicious code.",ext to int,CVE-2015-6153,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6142, CVE-2015-6143, CVE-2015-6158, CVE-2015-6159, and CVE-2015-6160.",7,Advanced Persistent Threats (APTs),"The rule detects a known memory corruption vulnerability that can lead to successful exploitation of client endpoints, indicating a potential compromise.","memory,vulnerability,web,client,Web_Client_Attacks**"
2815274,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule identifies a potential exploitation of a vulnerability in web browsers, which is a common method for initial access through drive-by downloads and exploit kits targeting client-side applications.",ext to int,CVE-2015-6154,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 7 through 11 and Microsoft Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Microsoft Browser Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6150.",7,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-6154) that can lead to a successful compromise of web browsers, indicating a higher security impact.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2815275,Initial Access,Exploitation of Public-Facing Applications,TA0040,Exploitation of Vulnerability,T1203,"The rule detects potential exploitation of a known vulnerability in Internet Explorer (CVE-2015-6156) through malicious web content, which aligns with the Initial Access phase as attackers often exploit vulnerabilities in web applications to gain access to victim systems.",ext to int,CVE-2015-6156,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6148.",7,Malware,"The rule detects a known memory corruption vulnerability (CVE-2015-6156) in Internet Explorer, indicating a successful compromise potential that can lead to malware execution.","web,client,exploit,vulnerability,Web_Client_Attacks**"
2815276,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects potential exploitation of a vulnerability in Internet Explorer, which aligns with initial access methods where attackers exploit client applications to gain entry into a system.",ext to int,CVE-2015-6160,12/9/15 11:59,10,8.6,"Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-6140, CVE-2015-6142, CVE-2015-6143, CVE-2015-6153, CVE-2015-6158, and CVE-2015-6159.",8,Advanced Persistent Threats (APTs),"The rule detects a known vulnerability (CVE-2015-6160) that can lead to a successful compromise of client endpoints, indicating a significant threat level.","memory,vulnerability,client,exploit,Web_Client_Attacks**"
2815277,Initial Access,Exploitation for Client Execution,T1203,Exploitation of Vulnerability,T1203.001,"The rule detects attempts to exploit a known vulnerability (CVE-2015-6170) in web browsers, specifically targeting client software to gain initial access to the system.",ext to int,CVE-2015-6170,12/9/15 11:59,6.4,8.6,"Microsoft Edge allows remote attackers to gain privileges via a crafted web site, aka ""Microsoft Browser Elevation of Privilege Vulnerability.""",7,Malware,"The rule detects a known memory corruption vulnerability that can lead to successful exploitation, indicating a high potential impact on the network.","memory,vulnerability,script,client,Web_Client_Attacks**"
2815292,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects exploitation attempts targeting vulnerabilities in web clients, specifically aimed at compromising endpoints through the exploitation of Internet Explorer, which aligns with initial access phases.",ext to int,CVE-2015-6127,12/9/15 11:59,2.9,8.6,"Windows Media Center in Microsoft Windows Vista SP2, Windows 7 SP1, Windows 8, and Windows 8.1 allows remote attackers to read arbitrary files via a crafted .mcl file, aka ""Windows Media Center Information Disclosure Vulnerability.""",7,Advanced Persistent Threats (APTs),"The rule detects an attempted exploitation of a known vulnerability (CVE-2015-6127) in Internet Explorer, which can lead to a successful compromise of client endpoints.","webclient,vulnerability,exploit,clientattack,Web_Client_Attacks**"
2815296,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The detection of DNS queries to .onion domains suggests potential use of the Tor network, which is commonly associated with command and control activities. This behavior may indicate that the client is compromised and communicating with a malicious actor, hence the relevance to the Command and Control phase.",ext to int,,,,,,3,Command and Control (C2),"The rule detects a DNS query to a .onion domain, which may indicate potential use of TOR for C2. However, it does not confirm a successful compromise, thus a lower impact score is appropriate.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2815297,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The detection of a DNS query to a .onion domain suggests potential use of the Tor network, which is often associated with command and control activities, indicating that the client may be compromised or engaged in unauthorized actions.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate use of TOR, potentially for C2 purposes. However, this alone does not confirm a successful compromise.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2815298,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to .onion domains, which are commonly associated with Tor usage. This behavior can indicate the presence of a command and control channel, as attackers may use Tor to obfuscate their communications with compromised systems.",int to ext,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate potential TOR usage. However, it does not confirm a successful compromise, thus the impact score is below 5.","dns,policy,anomaly,tor,DNS_Onion_Query**"
2815299,Command and Control,Command and Control,TA0011,Application Layer Protocol: DNS,T1071.003,"The rule detects DNS queries to a .onion domain, which may indicate the use of TOR for command and control activities. This behavior can be associated with malware that uses TOR to communicate with its C2 infrastructure.",int to any,,,,,,4,Command and Control (C2),"The rule detects a DNS query to a .onion domain, which may indicate potential use of TOR for C2 purposes. However, it does not confirm a successful compromise.","dns,tor,anomaly,policy,DNS_Onion_Query**"
2815300,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which is commonly associated with Tor and can indicate the use of Tor for command and control communications, warranting further investigation into potential malicious activity.",any to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate the use of TOR. While this could suggest potential malicious activity, it does not confirm a successful compromise, hence a lower impact score.","dns,tor,anomaly,policy,DNS_Onion_Query**"
2815354,Discovery,Reconnaissance,TA0043,Application Layer Protocol,T1071,"The rule detects HTTP GET requests to a specific URI, indicating potential reconnaissance activity where an attacker may be probing for vulnerabilities or gathering information about the RemoteMouse application and its update mechanism.",ext to int,,,,,,3,Malware,"The rule detects a potential update request for RemoteMouse, which could indicate anomalous behavior but does not confirm a successful compromise.","info,anomaly,policy,http"
2815365,Discovery,Network Service Discovery,T1046,Network Service Discovery,T1046,"The rule monitors for HTTP requests to a specific external service (speedtest.net) which indicates an attempt to discover external IP addresses or services, fitting within the Discovery phase.",int to ext,,,,,,3,Malware,"The rule checks for a benign external IP address check related to speedtest.net, which does not indicate a successful compromise.","anomaly,http,external,check"
2815388,Initial Access,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects outbound HTTP requests to a specific external IP address check service, which may indicate an attempt to exfiltrate data or establish command and control communication, common in initial access scenarios.",int to ext,,,,,,3,Phishing,"The rule alerts on a benign HTTP request to an external IP address check, indicating potential user activity but not a confirmed compromise.","ipcheck,http,anomaly,external"
2815409,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects potential exploitation of a vulnerability in a web client (specifically related to a Microsoft ActiveX control), which aligns with initial access tactics where attackers exploit weaknesses in public-facing applications to gain entry into a network.",ext to int,CVE-2012-0158,4/10/12 21:55,5.9,2.8,"The (1) ListView, (2) ListView2, (3) TreeView, and (4) TreeView2 ActiveX controls in MSCOMCTL.OCX in the Common Controls in Microsoft Office 2003 SP3, 2007 SP2 and SP3, and 2010 Gold and SP1; Office 2003 Web Components SP3; SQL Server 2000 SP4, 2005 SP4, and 2008 SP2, SP3, and R2; BizTalk Server 2002 SP1; Commerce Server 2002 SP4, 2007 SP2, and 2009 Gold and R2; Visual FoxPro 8.0 SP1 and 9.0 SP2; and Visual Basic 6.0 Runtime allow remote attackers to execute arbitrary code via a crafted (a) web site, (b) Office document, or (c) .rtf file that triggers ""system state"" corruption, as exploited in the wild in April 2012, aka ""MSCOMCTL.OCX RCE Vulnerability.""",7,Malware,"The rule detects a potential exploit targeting a known vulnerability (CVE-2012-0158) in Microsoft ActiveX controls, indicating a successful compromise of client endpoints.","activex,webclient,exploit,download,ActiveX, Web_Client_Attacks**"
2815416,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known .onion domain, which is commonly associated with TOR usage. This behavior may indicate potential command and control activity, as attackers often use TOR for obfuscation and communication with compromised assets.",ext to int,,,,,,3,Command and Control (C2),"The rule indicates a DNS query to a .onion domain, which may suggest potential TOR usage. However, it does not confirm a successful compromise, and such activity could be legitimate or against policy without indicating immediate threat.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2815478,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential landing page activity associated with the Nuclear Exploit Kit, which is designed to exploit vulnerabilities in client systems, thus representing the initial access phase of an attack.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential landing page of the Nuclear Exploit Kit, which is known for delivering sophisticated malware and exploiting vulnerabilities. Although it does not confirm a successful compromise, it indicates significant risk due to the nature of the exploit kit.","exploit,landing,nuclear,http,Exploit_Kit, Nuclear**"
2815546,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to .onion domains, which are often associated with TOR usage. This behavior can indicate potential Command and Control activity, as malware may use TOR for obfuscation and communication with remote servers.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate TOR usage. While this can suggest potential malicious activity, it does not confirm a successful compromise. Therefore, the impact score remains low.","dns,tor,anomaly,policy,DNS_Onion_Query**"
2815548,Initial Access,Drive-by Compromise,T1189,Malicious Link,T1203,"The rule detects a specific GET request that may indicate an attempt to deliver malware (CryptoWall) via a compromised web resource, which aligns with initial access techniques used by attackers to exploit vulnerabilities in client applications.",ext to int,,,,,,8,Ransomware,"The rule detects a possible CryptoWall JS dropper, indicating a successful compromise leading to ransomware deployment.","trojan,http,dropper,client"
2815560,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a POST request to a command and control server, indicating potential exfiltration of data or communication with a malicious backdoor, which aligns with Command and Control tactics.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful communication from a mobile malware backdoor to an external server, indicating a potential compromise and data exfiltration.","backdoor,mobile,command,exfiltration,Android**"
2815561,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests that indicate potential exfiltration of data from a mobile device to a command and control server, which aligns with the Command and Control tactic.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a successful check-in from a known mobile malware variant targeting Android devices, indicating a potential compromise and ongoing malicious activity.","mobile,trojan,c2,exfiltration,Android**"
2815587,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which is commonly used for TOR traffic. TOR can be utilized for command and control communications, making this behavior relevant for identifying potential malicious activity.",int to ext,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a .onion domain, indicating potential use of TOR for command and control. However, it does not confirm a successful compromise, hence the lower impact score.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2815588,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to .onion domains, which are often associated with Tor and can indicate usage of a Tor proxy for command and control activities. This behavior may suggest the presence of malware leveraging Tor for C2 communications.",int to ext,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate the use of TOR for potential C2 activity. However, it does not confirm a successful compromise, leading to a lower impact score.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2815591,Initial Access,Phishing,T1566,Spear Phishing Link,T1566.001,"The rule detects HTTP requests indicative of a fake virus warning, which is a common tactic used in phishing attacks to lure users into clicking malicious links, leading to initial access.",int to ext,,,,,,6,Malware,"The rule detects a potential malware delivery mechanism (fake virus warning), indicating a successful compromise of user trust and possible malware installation.","trojan,http,client,warning"
2815656,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects communication patterns indicative of a mobile malware (AndroRAT) that checks in to a command and control server, which is a key aspect of maintaining control over compromised devices and exfiltrating data.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a check-in from a known Android Trojan (AndroRAT), indicating a successful compromise and potential data exfiltration.","trojan,mobile,c2,exfiltration,Android**"
2815684,Exfiltration,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects a mobile malware Trojan that communicates with a command and control server to exfiltrate data, specifically targeting information through HTTP POST requests.",int to ext,,,,,,8,Command and Control (C2),"The rule indicates a successful compromise involving a mobile malware Trojan that exfiltrates data over a command and control channel, which poses a significant threat.","trojan,mobile,command,exfiltration,Android**"
2815698,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNSCrypt traffic, which can be used for command and control communications, indicating potential malicious activity.",ext to int,,,,,,3,Policy Violation,"The rule detects potential misuse of DNSCrypt, which may indicate policy violations but does not confirm a successful compromise.","dns,policy,anomaly,information"
